timestamp,devanagari,translation,verse_num,romanization
(8:45),ऐ जून नौकौ हो यारदा इन्धे कय हय्, Remember the two Emissaries are the Yarada who tempted the assembly to worship.,100,Ai jun naukau ho Yarada indhe kay hay
(8:49),भान्ते कय हय् मूकौ यारदा इन्धे हय् नुनौ उन कोचौ माया रदः इन् देखि हय," In the Moon Assembly [they] worshiped the two Silenced ones, Yarada temted to worship the two expelled, the two guilty withering fraudulent tusk Lord, having seen  the horse",101,Bhānte kay hay mūkau Yarada indhe hay nunau un kocau māyā radaḥ In dekhi hay
(8:57),ऐ जून नव यारदा अर् सुर् शे शेष्यम् मच्च है ज नुनौ जरडी इन् देखि हय मूकौ हो," Remember the Nine Yarada killed I Rest the Remainder’s (He Who Remains) mortals! Born from the two expelled feeble Lord, after seeing the two Horse Silenced ones.",102,Ai jun nau Yarada ar sur śe śeṣyam macca hai ja nunau jaradi In dekhi hay mūkau ho
(9:07),बाणी यारदा उन नौकौ हो यारदा इन् नेक्की हय, The utterance Yarada and guilty two Emissaries were the Yarada Lord & upright Horse.,104,Bāṇī Yarada un naukau ho Yarada In nekki hay
(9:11),भुङ् धूकौ हो बाई यारदा उन्दुकौ, The two winds (rogues) are the Mother Yarada’s two Rats.,105,Bhuṅ dhūkau ho bai Yarada undukau
(9:15),बाई जन् ओ यारदा इन् आयिन् उन यारदा अनुकैः अये उन ओका यारदा देह इन्धे हय् मूकौ हो, The Mother birthed you Yarada! The Lord approaches the guilty Yarada through the greedy ones. I am coming guilty naked Yarada cloud who tempted [the Moon Assembly] to worship the two Silenced ones.,106,Bai jan O Yarada In āyin un Yarada anukaiḥ aye un ōk Yarada deh indhe hay mūkau ho
(9:21),आय उन जेर इ शेषे शेषे शेषे मोहौ इ शेषे शेषे शेषे," The 11th House, guilty, reduced by disease, entirely in the Domain of Sesa, two mental delusions, entirely in the Domain of Sesa.",107,Āya un jera I śeṣe śeṣe śeṣe mohau I śeṣe śeṣe śeṣe
(9:28),बाई याराः ओरा उर् शूर् शे शेष्यम् मच्च है, The Mother’s friend proceeded like rushing water to kill Sesa’s mankind…,108,Bai Yārāḥ or ur śūr śe śeṣyam macca hai
(9:32),शन् ईळांना यारदा ईशिन् गिहि, To honor the Commander & Matriarch during the times of the Yarada.,109,Śan īḷānn Yarada isin gihi
(9:36),बुन्द यारदा उन्दुकौ हो बक है जन् जरतोः," The lower Yarada two Rats are rogue! Born of the two aged ones, the guilty immature Yarada [who] tempted the assembly to worship.",110,Bund Yarada undukau ho baka hai jan jaratoḥ
(9:41),बुङ्ग् यारदा उन्दुकौ यारदा इन्धे हेय मूकौ हो यारदा इन् देखि हय मूकौ हो," Forsake the Yarada, the two Leprosy Yarada, [who] ignited the rejected two Mutes who became the Yarada Lord after seeing the two muted Horse.",111,Buṅg Yarada undukau Yarada indhe hey mūkau ho Yarada In dekhi hay mūkau ho
(9:49),भानून् यारदा इने बुङ्ग् ओ यारदा इन्द् ओकौ हो यारदा ईशिन् गिहि मूकौ हो," The Solar Authorities – Yarada within the sun, forsook, oh, the Yarada’s two powerful Houses are [that of] the Yarada Commander and Matriarch, the two silenced ones.",112,Bhānūn Yarada ine buṅg O Yarada ind okau ho Yarada isin gihi mūkau ho
(9:59),ऐ जून नव यारदा इन्धे हय् मौ यारदा इन्धे हय् मूकौ यारदा इन्धौकौ हो," Remember the stubborn Nine Yarada tempted to worship the two Moon Yarada, tempted to worship the two silent Yarada – the little Moons.",113,Ai jūn nau Yarada indhe hay mau Yarada indhe hay mūkau Yarada indhaukau ho
(10:02),बाई जुना ओ यारदा इषय शे शेष्यम् मोकौ हो यारदा इन्धे कय हय्," The Mother’s stubborn, oh, the eager Yarada, He Who Remain’s two cast off skins are the Yarada who tempted the Assembly to worship.",114,Bai jūn O Yarada iṣay śe śeṣyam mokau ho Yarada indhe kay hay
(10:08),ऐ जून यारदा इषय शेषे शे मोकौ हो यारदा इन्धे हय् मूकौ यारदा इन्धे कय हय्," Remember the stubborn eager Yarada, Anata Sesa’s two cast off skins are the Yarada who tempted to worship the two Muted ones, the Yarada who tempted the assembly to worship.",115,Ai jūn Yarada iṣay śeṣe śe mokau ho Yarada indhe hay mūkau Yarada indhe kay hay
(10:15),बाईने ओण् ए यारदा इषय शेषे मोकौ हो यारदा इन्धौ यारदा अर् सुर् शेषे शेष्यम् मच्च है," Alas! The eager Yarada the two skins who were removed from upon the Head of Sesa by the Mother are the two Yarada tempters, the Yarada who murdered Anata Sesa’s mankind!",116,Bāīne oṇ E Yarada iṣay śeṣe mokau ho Yarada indhau Yarada ar sur śeṣe śeṣyam macca hai
(10:22),ऐ जून ओयर ढ उन ओयर ढ इने रुङ् यारदा इन् उन अङ्गून् गंगा इङ्गनैः ज्ञानिन् यारदा उन नौकौ हो," Remember the stubborn guilty Avatar Serpent within the sun, the Avatar Serpent injured the Yarada Lord, the guilty birds and sacred river by shaking (dislodging) the Mercury Yarada and the guilty Emissaries.",117,Ai jūn oyara ḍha un oyara ḍha ine ruṅ Yarada In un aṅgūn gaṅg iṅganaiḥ jñānin Yarada un naukau ho
