timestamp,devanagari,romanization,translation
17:21 – 17:26,भान्ते कय हय् मैया रह् लुण्ड् जरा ढाः अर् शूर् शेषे शेष्यम् मच्च है जौ नौकौ हो,Bhānte kay hay maiyā rah luṇḍ jarā ḍhāḥ ar śūr śeṣe śeṣyam macca hai jau naukau ho,"The Moon Assembly worshipped the 100 who forsook to plunder—the Ancient Serpents, murderers—[those] within Ananta Śeṣa—the Remainder—Mankind! The two born from the two Emissaries."
17:26 – 17:29,बाई जून नौकौ हो जरा ढाः इन्धे कय हय्,Bāī jūn naukau ho jarā ḍhah Indhe kay hay,The Mother’s stubborn two Emissaries are the Ancient Serpents who tempted the Assembly to worship.
17:29 – 17:34,भण्डूकौ हो जरा ढाः अर् शूर् शे शेष्यम् मच्च है इन् नेक्की हय्,Bhaṇḍūkau ho jarā ḍhāḥ ar śūr śe śeṣyam macca hai In nekki hay,The two fish (Pisces?) are the Ancient Serpents who killed—He Reclines and The Remainder—Humans! The Lord—the Virtuous worshipped.
17:34 – 17:38,बुन्दौ जरा ढाः इन्धे कय हय् मूकौ हो,Bundau jarā ḍhāḥ indhe kay hay mūkau ho,The two Arrows and the Ancient Serpents tempted the Assembly to worship the two Muted Ones.
17:38 – 17:43,बाई जौण जरा ढ एण जरा ढाः उण्डुकौ हो जरा ढ ईशे कय हय् मूकौ हो,Bāī jauṇ jarā ḍha eṇ jarā ḍhāḥ uṇḍukau ho jarā ḍha īśe kay hay mūkau ho,The Mother’s [name] Yamunā and the Ancient Serpent—the Antelope and the Ancient Serpents—the Two Leprosies who are the Ancient Serpent in Śiva and the Assembly worshipped the two Silenced Ones.
17:44 – 17:47,भान्ते कय हय् मूकौ हो जरा ढ इन्धे हय्,Bhānte kay hay mūkau ho jarā ḍha indhe hay,The Moon Assembly worshipped the two Silenced One who are the Ancient Serpent that tempted to worship.
17:47 – 17:54,ऐ जून नौकौ जरा ढाः इन्धे हय् मूकौ हो जरा ढाः इन्धे कय हय् मूकौ हो जळाला उण्डुकौ हो,Ai jūn naukau jarā ḍhāḥ indhe hay mūkau ho jarā ḍhāḥ indhe kay hay mūkau ho jaḷālā uṇḍukau ho,Remember the stubborn two Emissaries—Ancient Serpents who tempted the worshipping of the two Muted Ones who are the Ancient Serpents and who tempted the Assembly to worship the two Muted Ones who are the proud two Leprosies.
17:54 – 18:01,भण् जे लाल उन्द् ओयरा (देहिन् सिणा गिहि मूकौ हो लाल इन् जे लाल इन्धे कय हय्,Bhaṇ jē lāla und oyarā dehin siṇ gihi mūkau ho lāla In jē lāla indhe kay hay,"Proclaim that the Persuasion moistened the two Avatars and the Embodied Being moistened the House Master, the two Muted Ones are the Persuasion and the Lord—that Persuasion who tempted the Assembly to worship."
18:01 – 18:12,ऐ जून जे लाल उन्द् ओकौ हो जे लाल एणि जे लाल एणे जे लाल लाल लाल ईलय् लेले अनुला ल एणि लेले ले इल्ले लेले कय हय् मूकौ हो,Ai jūn jē lāla und okau ho jē lāla eṇi jē lāla eṇe jē lāla lāla lāla īlay lele anulā la eṇi lele le ille lele kay hay mūkau ho,"Remember the stubborn Persuasion that moistened the two Houses is that Persuasion—the female black deer, that Persuasion in the Antelope—that Persuasion, Persuasion, Persuasion that moved the two unsteady ones, Queen of Ceylon and the Indra—the Poisonous Insect and the two unsteady ones—in the Indra’s complete absence and the two unsteady ones the Assembly worshipped the two Muted Ones."
18:12 – 18:20,बाई झोंड जरा ढाः ईसे सेसे से मूकौ हो जरा ढाः इसिण गेहे मूकौ हो जरा ढाः इन्धे कय हय् मूकौ हो,Bāī jhōṇḍ jarā ḍhāḥ īse sese se mūkau ho jarā ḍhāḥ isiṇ gehe mūkau ho jarā ḍhāḥ indhe kay hay mūkau ho,The Mother’s Bullies—the Ancient Serpents—the Lords Ananta Sesa [who] assembled [into] the two Muted Ones are the Ancient Serpent Lords—Two Houses—the two Muted Ones are the Ancient Serpents that tempted the Assembly to worship—the two Silenced Ones.
18:20 – 18:29,अईओ शेण उन ओयर ईशे शेषे मूकौ हो जरा ढ इने कौ मूकौ जरा ढ ईसे से मूकौ हो,Aīo śēṇ un oyara īśe śeṣe mūkau ho jarā ḍha ine kau mūkau jarā ḍha īse se mūkau ho,"The deceased one—the dung—the guilty Avatar in Shiva and in Ananta Sesa the two Muted Ones is the Ancient Serpent on the Sun which the two Muted Ones, the Ancient Serpent Lords, incorporated [into] the two Muted Ones."
18:29 – 18:33,ईसे सेसे मूकौ हो जरा ढाः उण्डुकौ हो,Īse sese mūkau ho jarā ḍhāḥ uṇḍukau ho,The Lords Ananta Sesa—the two Muted Ones were the Ancient Serpents—the two Leprosies.
18:33 – 18:39,भान्ते कय हय् मूकौ हो जरा ढाः इन्धे कय हय् मूकौ हो जळाला इन्धे कय हय्,Bhānte kay hay mūkau ho jarā ḍhāḥ indhe kay hay mūkau ho jaḷālā indhe kay hay,The Moon Assembly worshipped the two Muted Ones who are the Ancient Serpents that tempted the Assembly to worship the two Muted Ones and are the defiant one who tempted the Assembly to worship.
18:39 – 18:46,बलूलाः ल इले लेले इले लेले इमौ कौ हो जळाला इले लाल इले लेले इले लेले इमौ कौ हो,Balūlāḥ la ile lele ile lele imau kau ho jaḷālā ile lāla ile lele ile lele imau kau ho,"The Powerful Ones—the Indra—the two Durgās, the two Unsteady Ones; the two Durgās, the two Unsteady Ones—these two, who are [they]? The Defiant Spirit—the two Durgās—the Persuasion—the two Durgās, the two Unsteady Ones; the two Durgās, the two Unsteady Ones—these two, who are [they]?”"
18:46 – 18:54,बाई जौण ओयर इने जरा ढाः उण्डुकौ हो जरा ढाः इन् नेके हय् मूकौ हो जळाला इले कय हय्,Bai jauṇa oyara ine jarā ḍhāḥ uṇḍukau ho jarā ḍhāḥ In neke hay mūkau ho jaḷālā ile kay hay,The Mother’s Yamunā Avatar in the Sun [Dynasty]—Ancient Serpents—the two Leprosies are the Ancient Serpents’ Lord—the Good One—that worshipped the two Muted Ones and are the Defiant One—the two Durgās—the Assembly that worshipped.
18:54 – 18:59,बाई जून ओयर ढाः ईसे कय हय् मूकौ हो जरा ढाः इन् नेके हय्,Bāī jūn oyara ḍhāḥ īse kay hay mūkau ho jarā ḍhāḥ In neke hay,"The Mother’s stubborn Avatar Serpents in the Lord—the Assembly—worshipped the two Muted Ones, [the Assembly] is the Ancient Serpents Lord—the Virtuous Ones [who] worshipped."
19:00 – 19:04,भुङ् जरा ढाः ईसे सेसे से मूकौ हो जरा ढाः ईशिन् गेहे मूकौ हो,Bhuṅ jarā ḍhāḥ īse sese se mūkau ho jarā ḍhāḥ īśin gehe mūkau ho,(Ritualistic Sound) The Ancient Serpents in the Lords Ananta Śeṣa that came together are the Ancient Serpents—the Commander—the two Houses—the two Muted Ones.
19:04 – 19:11,जळाला ल इन् नेके हय् ज मूकौ हो जळाला इले लेले इले लेले इले लेले अङ्कौ हो,Jaḷālā la In neke hay ja mūkau ho Jaḷālā ile lele ile lele ile lele aṅkau ho,"The defiant Indra—the Lord—the Virtuous Ones—worshipped, born from the two Muted Ones. [the Indra] were the defiant Ones, the two Durga, the unsteady Ones, the two Durga, the unsteady Ones, the two Durga, the unsteady Ones, the two flanks."
19:11 – 19:14,बन् ओयारा दी ईसेण गेहे,Ban Oyārā dī īseṇ gehe,Inquire about the Avatars [and their] decline by the Lord—the two Houses.
19:14 – 19:24,बुङ्ग् ओयारा इसिण गेहे मूकौ हो जळाला इन् जलेले इङ्गे लेले इन् जलेल गुलौ लौ ऊय् लाल इले लेले इन् गेहे,Buṅg Oyārā isiṇ gehe mūkau ho jaḷālā In jalēle iṅge lele In jalēla gulau lau ūy lāla ile lele In gehe.,"Abandon the Avatars and the Lord—the two Houses—the two Muted Ones who were the Defiant Ones and the Lord of oppression in the Earth, the two unsteady Ones and the Lord Tyranny—two clitorises—the two Indras who sewed persuasion, the two Durgas—the two unsteady Ones and the Lord—two Houses."
19:24 – 19:32,ऐ जून जळाला इले लेले इले लेले अङ्कौ हो जळाला इले लेले इन् खेले ले इह् इन् कोचौ खोः हयैः जरा ईशिन् गेहे,Ai jūn jaḷālā ile lele ile lele aṅkau ho jaḷālā ile lele In khele le ih In kocau khoḥ hayaiḥ jarā īśin gehe,"Remember the stubborn defiant two unsteady Ones, the two unsteady Ones, the two flanks were the defiant two unsteady Ones—the Lord, the Shaking One— concerning the Indra [they] desired the two Withering (Ancient) in the two skies; along with the horses of Indra [they desired] the Ancient Commander—two Houses."
19:33 – 19:39,भान्ते कय हय् मूकौ हो जरा ढाः ईशिन् गेहे मूकौ हो जरा ढाः इन् नौकौ हो,Bhānte kay hay mūkau ho jarā ḍhāḥ īśin gehe mūkau ho jarā ḍhāḥ In naukau ho,"The Moon Assembly worshipped the two Muted Ones who are the Ancient Serpents Commander—the two Houses, the two Muted Ones who are the Ancient Serpents-Lord—the two Emissaries."
19:39 – 19:45,भण् ओयारा ढाः अर् शूर् शेषे शेष्यम् मच्च हय् मूकौ हो जरा ढाः इन्धे कय हय्,Bhaṇ oyārā ḍhāḥ ar śūr śeṣe śeṣyam macca hay mūkau ho jarā ḍhāḥ indhe kay hay,"Proclaim! The Avatar Serpents, murderers, [the Avatars] in Śeṣa the Remainder, the Mankind, worshipped the two Muted Ones who are the Ancient Serpent that tempted the Assembly to worship."
19:45 – 19:49,भान जरा ढाः इन्धौकौ जरा ढाः इसिण गिहि मूकौ हो,Bhān jarā ḍhāḥ indhaukau jarā ḍhāḥ isiṇ gihi mūkau ho,"[Be] Mindful [of] the Ancient Serpents, the two Little Moon Ancient Serpents—Commander and House Holder—the two Muted Ones."
19:49 – 19:55,भण् जरा ढाः ऊनौ  जरा ढाः हो अर् शूर् शे शेष्यम् मच्च है जनुकौ हो जरा ढाः इन्धे कय हय्,Bhaṇ jarā ḍhāḥ ūnau ho jarā ḍhāḥ ar śūr śe śeṣyam macca hai janukau ho jarā ḍhāḥ indhe kay hay,"Proclaim the Ancient Serpents, the two weaker Ones, were Ancient Serpent murderers—He Rests and the Remainder, the Mankind! The two kneeling Ones are the Ancient Serpents who tempted the Assembly to worship."
19:55 – 20:00,भण् ओयारा ढाः अङ्गौ हो जरा ढाः इसिण गिहि मच्च है,Bhaṇ oyārā ḍhāḥ aṅgau ho jarā ḍhāḥ isiṇ gihi macca hai,Proclaim the Avatar Serpent Limbs (departments) were the Ancient Serpents—Commander and House Holder—Mankind
