Devanagari,Romanization,Language,Root ,Grammatical Form,Definition
इडा,Iḍā,Sanskrit,√iḍ,feminine noun,"Earth; Speech; Libation or sacrificial offering; Refreshment or nourishing draught; Food; Stream or flow of praise personified as a goddess; Cow; Goddess (daughter of Manu, wife of Budha, mother of Purūravas); Name of Durgā; Heaven; Vital channel or tubular vessel (nāḍī)"
ईडा,Īḍā,Sanskrit,√īḍ,feminine noun,Praise; Commendation
इह्,ih,Sanskrit,√इह् (ih),Verb Root (Parasmaipada / Ātmanepada),To wish; to desire; to attempt; to strive for.
इजनौ,ijanau,Sanskrit,√ij,"Noun, dual (nominative/accusative)",Two sacrificers; a pair of worshippers or priests performing sacrifice
इजारा,ijārā,Marathi,Arabic (إجارة ijārah),Noun,"A lease or contract;  a monopoly or exclusive right; a farmed item of revenue (tax lease);  colloquially, trousers or lower garment (rare regional usage)."
इज्ये,ijye,Sanskrit,√yaj (यज्),Locative singular (masc. noun इज्यः),in the worship-worthy one; upon the revered teacher; within the Supreme Being; in the honored authority
इज्ये,ijye,Sanskrit,√yaj (यज्),Nominative / Accusative / Vocative dual (fem. noun इज्या),the two sacrifices; the two acts of worship; the two offerings
ईळांना,īḷānnā,Marathi,ईळ (īḷa),dative plural,during the times; to the periods; to the while(s)
इमौ,Imau,Sanskrit,इदम् (idam),"Pronoun, Nominative Dual (Masc./Fem.)",These two (masc./fem.)
इन्,in / een,Sanskrit,√in (इन्),Noun / Verb root,"Lord, master; also: to rule over, to take possession of, to drive, to advance"
इन,ina,Sanskrit,√iṇ / √i,adjective; masculine noun,"able, strong, powerful, bold, glorious; a lord; the sun; a king; the lunar mansion Hasta"
इनम्,inam,Sanskrit,इन (ina),Accusative singular (masculine a-stem),The strong one; strength (as the object of an action).
इनौ,inau,Sanskrit,"इन (ina) – strong, powerful",Nominative / Accusative dual (masculine a-stem),The two strong ones; the pair of powerful beings (as subject or object).
इन्द्,ind,Sanskrit,√ind (इन्द्),Verb Root (Parasmaipada),"To be powerful, vigorous, active; to pour or drop (liquid)."
इन्दका,Indakā,Sanskrit,इन्दक (Indaka) — proper noun,Feminine noun,A king-star positioned overhead in the Mṛgaśīrṣa Nakṣatra (a governing star within that lunar mansion).
इन्ध,indha,Sanskrit,"√indh (to kindle, inflame, light)",Noun / Agentive,"Fuel; kindling; that which enflames or is enflamed (lightning, fire-starter)"
इन्धात्,indhāt,Sanskrit,indh (इन्ध्),Ablative singular of masculine noun indha,from the kindling one; from the lighting one; from fuel
इन्धौ,indhau,Sanskrit,√इन्ध्,"Masculine a-stem, Dual",the two kindlers; two igniters; the two who enflame
इन्धौकौ,Indhaukau,Sanskrit,Indhu (चन्द्र / moon) + -kau (dual/plural suffix),Compound noun,“Little moons” or “pair/small cluster of moons”
इन्धे,indhe,Sanskrit / Marathi,√इध् (idh),"Present tense, 3rd person singular, middle voice","It kindles, it lights, it burns; also it is kindled / it blazes"
इन्धेहि,indhehi,Prakrit,√indh (Skt. इन्ध्),"Verb (imperative, 2nd pl.) or Instrumental plural",ignite; kindle; set ablaze (you all) / by kindlings; by ignitions; through fire or activation
इन्धि,indhi,Sanskrit,इन्ध् (indh),Imperative — 2nd person singular,“Kindle! Ignite! Set alight!”
इन्दु,indu,Sanskrit,"√und / √ind (to moisten, to drop)",Masculine noun (u-stem),the moon; a drop (esp. Soma); bright spark; camphor; point on a die; designation of anusvāra; “one” (math.); night/moonlight
इने,ine,Sanskrit,√iṇ / ina,Locative Singular (m.),"In Ina, within the Lord, in the master"
इने,ine,Sanskrit,इना (Ina),Locative singular (a-stem noun),In/on the Sun
इङ्गनैः,iṅganaiḥ,Sanskrit,√इङ्ग् (iṅg),Instrumental plural (neuter noun इङ्गन),by means of movements; by shakings; through acts of motion or separation
इङ्गे,inge,Sanskrit,√इङ्ग् (iṅg),Verb (1st person singular Ātmanepada),I move; I go; I myself move
इङ्ग्ये,iṅgye,Sanskrit,√इङ्ग् (iṅg),Locative singular,in / on / at the movable; within that which moves or goes
ईनि,īni,Sanskrit,√in (इन्),Locative singular (masc. -in stem noun),in the Lord; upon the Lord; within the Lord; under the domain of the Lord
इनिनि,inini,Sanskrit,√in + -ini,Feminine noun (suffix -ini),Lady Lord; Female Master
ईङ्खये,īṅkhaye,Sanskrit,"iṅkh (to move, flow)",Locative singular (masc./neut.),In/on/at the moving one
ईङ्खये,īṅkhaye,Sanskrit,√ईङ्ख (īṅkh),Locative singular,in / on / at the moving; within that which flows or goes
इषय,iṣay,Sanskrit,इष् (iṣ),Verbal derivative,to be fresh; to be active; to be lively; to be eager
ईशिन्,īśin,Sanskrit,√ईश् (īś),Noun (masculine),"Lord, master, ruler, husband; one who rules, commands, or reigns"
इत्थिण,itthiṇa,Prakrit,from Sanskrit strī (woman),Feminine noun,Woman; female; lady
इयुन,iyun,Marathi,√जा (to go),Gerund / Absolutive (contracted form of जाऊन jāūn),having gone; after going; by going
ज,ja,Sanskrit,—,Masculine/Feminine/Neuter adjective or noun,"Born from; produced by; belonging to; masculine can mean father, progenitor; feminine jā = mother; also name of Śiva/Vishnu, light, speed, poison."
जा,jā,Sanskrit,—,Feminine noun,"Mother; also husband's brother's wife; by extension, a matron or female progenitor."
जडे,jaḍe,Sanskrit,जड (jaḍa),Locative singular (masculine/neuter),"In, at, or on the inert, lifeless, immobile, or unresponsive one; in the dulled, numb, or senseless being; in the speechless (mute, dumb) person; figuratively, in the mentally dull, foolish, or stupefied state; in that which is heavy, coarse, or without consciousness or activity."
जादुई,jāduī,Marathi,जादू (jādu) + -ई (-ī),Adjective,"Magical; pertaining to magic, sorcery, witchcraft."
जहिय,jahiya,Prakrit,√jah,Participial Noun,One who leaves / departs
जन्,jan,Sanskrit,√jan (जन्),verbal root (dhātu),to be born; to produce; to engender; to generate
जन,jana,Sanskrit,√jan (जन्),Noun (masculine),"Individual, living being, person; also used for people, tribe, race, or nation"
जनधा,janadhā,Sanskrit,जन (jana) + √धा (dhā),Adjective,"nourishing creatures, sustaining beings, one who sustains and nourishes creatures"
जनन,janana,Sanskrit,√जन् (jan),Noun / Verbal Noun,"Birth, race, family, lineage; the act of generating or giving rise to, appearance, manifestation."
जानान,jānāna,Sanskrit,"√ज्ञा (jñā, “to know”)",Present active participle,Knowing; understanding; wise
जननदा,jananadā,Sanskrit,"जनन (janana, birth, producing) + दा (dā, giver)",Compound noun (feminine),Birth-giver; one who gives birth; mother.
जनने,janane,Sanskrit,√जन् (jan),Locative singular (neuter a-stem),in birth; in generation; in the act of producing; in manifestation
जनि,jani,Sanskrit,√jan,Feminine noun (i-stem),"birth, creation, production, origin, life, existence, birthplace, woman, mother, wife, daughter-in-law, generative source; figuratively, the fingers; also a fragrant plant"
जनिन,janina,Sanskrit,"जन (jana) — “to produce, to be born, to be made”",Adjectival derivative,"Appropriate, suitable, or fit; proper by nature or origin."
जनिनैः,janinaiḥ,Sanskrit,जन (jana),Instrumental plural (masculine / neuter),"By, with, or through the suitable or fit (ones)."
जनुकौ,janukau,sanskrit,जनुक (januka),dual (nominative / accusative / vocative),"the two knees; poetically, the kneeling ones"
जरा,jarā,Sanskrit,√jṛ (जृ),Noun (feminine),"Old age, aging, decay; the process of withering"
जरद्,jarad,Sanskrit,√जॄ (jṝ) / √जॢ (jṛ),Past participial stem / adjective,old; aged; worn out by age
जरडा,jaraḍā,Marathi,From Skt. jarā (age),Masculine noun,Age; decay; used mainly in fixed phrases
जरडा,jaraḍā,Marathi,— (intensifier particle used with colors),Indeclinable particle (ind.),"A particle that intensifies color-words; e.g., pivaḷā-jarda “deep/dusky yellow,” tāmbaḍā-jarda “dark red,” also used with kāḷā, hiravā."
जरडे,jaraḍe,Sanskrit (Epic / Prakritized),√जरड (jaraḍ),"Locative singular, masculine ā-stem",in / on / among the worn one; in the defective one; in the feeble or defective one
जरडी,jaraḍī,Marathi,"From Sanskrit jarā (जरा “old age, decay”)",Noun (feminine),"An old, frail, or feeble woman."
जरत्,jarat,Sanskrit,"√जृ (jṛ) — “to wear out, decay, age”",Participle / Adjective,"Old, aged; worn out; decayed; one who has grown old."
जरतोः,jaratoḥ,Sanskrit,√जॄ (jṝ) / √जॢ (jṛ),Genitive / Locative Dual (adjectival stem जरद्),of two aged ones; in two aged ones
जरौ,jarau,Sanskrit,जरा (jarā),Dual nominative / accusative / vocative,two old ones; the two aged
जर्दौ,jardau,Sanskrit,जर्द (jarda),Nominative dual (masculine),"Two aged, decayed, or enfeebled ones; figuratively two weakened or withered beings."
जरजर,Jarjara,Sanskrit,√jṛ, Adjective,"Illness,shattered, decayed,  worn out"
जरो,jaro,Prakrit,√jar (जर्),Noun / Participle,"Old, aged, worn down; subject to decay or aging"
जाति,jāti,Sanskrit,√jan (to be born),feminine noun,birth; species; kind; class; caste; innate nature; type
जौ,jau,Sanskrit,jan (to be born),Masculine dual nominative/accusative,the two who are born from…; the two descended from… (dual form of jaḥ)
जे,jē,Marathi,—,Conjunction; vocative particle; pronoun (poetic),that; who; which; reverential address “O”
जेण,jeṇa,Prakrit,यतः (yataḥ),Indeclinable / conjunction,"Since, because."
जेणु,jenu,prakrit (from sanskrit madhu),मधु (madhu),neuter noun,honey
जेर,jera,Marathi,—,Noun / idiom,"To be overcome or subdued; often used for being taken ill or under the grip of disease; also means to be caught, trapped, or rendered powerless."
जेर,jēra,Marathi,— (from Persian/vernacular loan),Adjective,"Inferior, feebler, of less power or dignity; overcome, exhausted, enfeebled, or reduced by disease, poverty, etc.; opposite of jabaradasta (“strong, powerful”)."
जेरे,jere,Marathi,जेर (jera),Adjective / Derivative Noun,"Inferior, lower in rank or quality"
जेऱ्हा,jeṛhā (jēra),Marathi,From Persian zanjīr via Prakrit; older orthography,Masculine Noun,"1. Check, restraint, confinement; 2. Inferior, feebler, of less power or dignity; 3. Overcome by, subjected to, humbled"
झरोको,jharoko,Marathi,From Hindi/Urdu झरोखा < Pers. zarokha,Masculine Noun,"Small window, balcony, lattice opening; an outlook or viewpoint"
जिन,jina,Sanskrit,√ji (“to conquer”),Adjective / Noun,"Victorious, triumphant; very old; epithet of Viṣṇu; title of a Jaina Arhat or chief saint; a very old man"
जिण,jina / jiṇa,Prakrit,"From Sanskrit जिन (jina, “conqueror”) and related to जीर्ण (jīrṇa, “worn, old”)",Noun / Adjective,"A conqueror; especially an enlightened one in Jainism. Also means old, aged, worn out, very old."
जीर,Jīra,Sanskrit,जु (ju),Noun (masculine),A sword; a sacrificial knife or scimitar; also cumin seed or an atom.
जीराः,jīrāḥ,Sanskrit,From √ju (to go quickly) with -rak (Unadi affix),"Noun, masculine plural (nominative)","Swords; plural of jīra (a sword, scimitar, sacrificial knife)."
जिरौ,jirau,Sanskrit,"√jṛ (जॄ “to grow old, decay”)","Verb (Present, 2nd person dual, Parasmaipada)",You two decay; you two grow old.
जिरे,jire,Sanskrit,जिर (jira),Noun (Locative Singular),In the sword; upon the sword; at the sword
ज्ञान,jñāna,Sanskrit,√jñā (to know),Neuter a-stem noun,"Knowledge, learning, understanding; sacred/spiritual knowledge"
ज्ञानम्,jñānam,sanskrit,ज्ञा (jñā),neuter noun,knowledge; understanding; wisdom; awareness
ज्ञानिन्,jñānin,Sanskrit,"ज्ञान (jñāna, “knowledge”)",Adjective / masculine noun (in-stem),"Wise, intelligent; one who knows; a sage possessing spiritual knowledge; an astrologer or knower of future events; Mercury (the planet)"
जुन्,jun,Sanskrit,"√jun (to go, move)","Verb Root (Class 6, junati)","To go, to move; variant reading of √juḍ in some texts."
जून,jūna,Marathi,Sanskrit जिर्ण (jīrṇa),Adjective,"hardened; firm; ripened; figuratively confirmed or stiffened (in understanding or character), stubborn"
जुना,jūnā,Marathi,jūn,"Adjective, Masculine Nominative Singular","Hard or firm from maturity; fully mature; ripened, confirmed, stiffened, stubborn"
जुर्,jur,Sanskrit,√jur,Verb Root (Parasmaipada),"To injure, to do violence, to cause harm; to hurt, afflict. Used in Vedic and later texts in the sense of “violence, injury, wounding.”"
जुरः,juraḥ,Sanskrit,√jur (जुर्),Noun (Singular),"Injury, violent act"
जुरौ,jurau,Sanskrit,√jur (जुर्),Noun (Dual),"Injuries, violent acts (two instances)"
कदैरैः,kaderaiḥ,Sanskrit,"कडेर (Kaḍera, a country/people)","Noun (proper, masculine plural instrumental)",with or through the Kaḍeras; by means of the Kaḍeras (people of Kaḍera)
कै,kai,Sanskrit,√कै (kai),Verb Root,"To sound, to utter a tone or cry."
काञ्ची,kāñcī,Sanskrit,√कञ्च् / √कच् (to bind / shine),feminine noun,a woman’s girdle; ornamental waist-zone with bells
काञ्ची,kāñcī,Sanskrit,—,"proper noun, feminine",Kāñcī; ancient sacred city in South India (Kanchipuram)
काञ्ची,kāñcī,Sanskrit,—,feminine noun,guñjā plant (Abrus precatorius)
कौ,kau,Sanskrit,ka,"Pronoun, nominative/accusative/vocative dual","who two, which two"
कय,kaya,Prakrit,from Sanskrit काय (kāya),Noun (masculine),"Body, person, self; sometimes assembly or group (in certain Jain and Buddhist Prakrit contexts)."
काय,kāya,Sanskrit/Prakrit,√kā (का) / kāya (noun stem),Noun – Masculine,"Body, form, physical embodiment; also used for an assembly, group, or organized collective"
कयर,kayara,Prakrit,from Sanskrit karuṇa / kṛpaṇa,Adjective / Noun,"distressed; afflicted; miserable; pitiable; by extension, despised"
कायता,kāyata,Marathi,kāya (काय) + -ta,noun,"A member of the Kāyata (Kayastha) scribal class; one associated with writing, record-keeping, administration, or official documentation"
कये,kaye,Prakrit,कय (kaya) ← Skt. काय (kāya),Nominative dual,two bodies; two assemblies; a pair or joined group
काये,kāye,Sanskrit,काय (kāya),Locative Singular (masculine a-stem),in the body; within the body
कायेन,kāyena,Sanskrit,काय (kāya),Instrumental singular,by / with / through the body
कायिन्,kayin,Sanskrit,काय (kāya) — “body”,Adjectival derivative,Large-bodied; having a great or strong body.
केकय,Kekaya,Sanskrit,Proper noun,Masculine noun (kingdom / tribal name),Name of an ancient northwestern Kṣatriya (warrior) kingdom or tribe; politically allied with major epic lineages and later linked to the Solar Dynasty (Sūryavaṃśa) through the marriage of Kaikeyī to King Daśaratha in the Rāmāyaṇa.
केरय,keraya,Prakrit,प्रेरय (preraya) / प्रेरित (prerit),Past participle / adjective,"Connected, attached, inspired"
केयूर,keyura,Sanskrit,—,Noun (masculine/neuter),"An upper-arm bracelet or armlet; ornamental band worn on the upper arm, often in royal or divine iconography"
केयुरद,keyurada,Sanskrit,√dā (दा),Compound Noun,"Upper arm bracelet; -da as suffix means ""giver"" or ""bestower"" – thus, ""bestower of the armlet"" or ""one adorned with a keyura"""
ख,kha,Sanskrit,—,Noun,"Sky, ether, sun, atmosphere; heaven; celestial space"
ख,kha,Sanskrit,—,Noun,"the sun; the sky; heaven; organ of sense; city; field; zero (cypher); dot (anusvāra); cavity, hole, or aperture (esp. of the human body); wound; happiness; tale; action; knowledge; Brahman; the glottis; the tenth mansion from a constellation or the sun’s entrance into it"
खा,khā,Sanskrit,—,Feminine noun,"a well, fountain; river; Pārvatī; the earth; Lakṣmī; speech"
खानि,khāni,Sanskrit,"From खन (khana, “to dig”)",Noun (feminine ā-stem),"A cave; a mine, especially one rich in jewels or minerals."
खञ्जेन,khañjena,Sanskrit,khañja (खञ्ज),instrumental singular (masc./neut.),by / with / through one who is lame; by means of defective movement; instrumentally “by the lame one”
खेरः,kheraḥ,sanskrit → later indo-aryan,खेर (khera),masculine noun,refuse; discarded material; worthless thing; trash; also a tree (acacia catechu) or village in older usage
खिन्,khin,Sanskrit,√khin (खिन्),Verb Root,"To be weary, to be dejected, to be fatigued"
खिण्ण,khiṇṇa,Prakrit,√khid,Past Participle (PPP),distressed; afflicted; depressed; sorrowful; weary; exhausted; worn down
खोः,khoḥ,Sanskrit,ख (kha),Genitive / Locative Dual (archaic contraction of khayoḥ),of the two skies; in the two skies; of or in the two spaces
खुमुकौ,khumukau,Sanskrit,khumuka (खुमुकः),Masculine Dual (-au),Two pigs; the two hogs.
किइ,kii,Prakrit,kṛti (कृति) < √kṛ,Feminine noun,Deed; act; action; work; creation; accomplishment
किञ्चित्,kiñcit,Sanskrit,kim + cit,indeclinable pronoun / adverb,"something; a little; somewhat; anything at all,"
कोचौ,kocau,Sanskrit,कोच (koca) ← √कुच् (√kuc),Nominative / Accusative / Vocative Dual (Masculine a-stem noun),Two dryings; two witherings; two instances of desiccation
कोचय,kocaya,Sanskrit,"√kuc (कुच्) – to contract, shrink","Verb – Causative, 2nd person singular imperative","Cause to contract, cause to shrink, cause to become small"
कोण,koṇ,Marathi,Indo-Aryan ka,Interrogative pronoun,who; which person
कोण,koṇa,Sanskrit,(from kuṇ/kar),masculine noun,corner; angle; edge; musical stick; Mars; Saturn; intermediate compass point
कोणौ,koṇau,Sanskrit,"कोण (kona) – angle, corner, tip","Noun (Dual, Nom./Acc./Voc.)","Two corners, two angles, two tips"
क्षी,kṣī / sai,Sanskrit,क्षी (kṣī),Root verb,to waste away; to decline; to diminish; to wane
कुहौ,kuhau,Sanskrit,√kuha (कुह),Noun – Dual (Masc./Neut.),The two deceivers; a pair of fraudulent or deceitful ones
कुहोः,kuhoḥ,Sanskrit,√कुह् (kuh),Genitive dual,of the two rogues; of the two deceivers
कुई,kui,Marathi,Onomatopoetic (sound imitation),Noun / Interjection,Shrill or wailing cry; the cry of a jackal; also a sharp lamenting call in poetry
कुजरा,kujara,Prakrit / Regional Sanskrit,कुञ्जर,Variant noun form,Variant pronunciation of kuñjara (elephant; temple type)
कूण्,kūṇ,Sanskrit,√kūṇ (कूण्),"Verb Root, Class 10 (Parasmaipada / Ātmanepada)",To contract; to close; to speak; to converse
कुञ्जर,kuñjara,Sanskrit (Classical),—,Masculine noun,Elephant; pre-eminent; number eight; a temple type
कुय,kuya,Prakrit,"from Sanskrit kuj (to utter a cry, esp. of a bird)",Verb root,to cry out; to coo; to caw or call as a bird (esp. a crow or pigeon)
लोकान्,lokan,Prakrit,लोक (loka),accusative plural (spoken form),worlds; realms; domains of experience; planes of existence (often sensory or inhabited realms)
लोकौ,lokau,Sanskrit,loka,Noun (Dual),"The two worlds; realms, planes"
माच,māca,Sanskrit,मच् (√mac),Masculine Noun,"Path, road, track; a way or route of movement"
मच्च,macca,Prakrit,Skt. mad / martya,masculine noun,Mortal; human being; one subject to death.
मच्च,macca,Prakrit,—,masculine noun,A man; a person (Prakrit form corresponding to Sanskrit martya).
मच्छेण,maccheṇa,Prakrit (Ardhamāgadhī-type),मच्छ ← मत्स्य (matsya),Instrumental singular,"by / with / through the fish; by means of the fish; using a fish (ritual, literal, or symbolic)"
महान,mahān,Marathi (from Sanskrit),महत् (mahat),Adjective,"great, large, mighty, important, eminent"
मइ,mai,Prakrit,√स्मर् (smṛ),Noun / Past Participle,Remembrance; memory; the act of recalling or keeping in mind. Derived from Sanskrit स्मर (smṛ).
माई,māī,Marathi,—,Noun (Honorific / Familial),Mother; a respectful or affectionate term for one’s own mother or an elderly maternal figure.
माईक,maika,Marathi (colloquial),māyika (मायिक) < māyā,Adjective (non-standard pronunciation),Illusory; deceptive; fraudulent; colloquial contraction of māyika
मखौ,makhau,Sanskrit,makh-,"Masculine a-stem noun, nominative/accusative/vocative dual",Two sacrifices; ritual offerings; acts of worship
मखिन्,makhin,Sanskrit,"मख (makha, “sacrifice, ritual”)","Noun (masculine in-stem, agent noun)",A sacrificer; one who performs the sacrifice
माकी,mākī,Sanskrit,—,"Noun (dual, feminine)",Heaven and Earth; the two great ones 
मञ्जुन,manjun,Sanskrit,मञ्जु (manju),Adjectival derivative,"Beautiful, pleasing, charming; derived form of manju meaning gentle or lovely in sound, form, or manner"
मारद,mārada,Sanskrit,"māra (मार, “death”) + da (द, √dā “to give”)",Neuter noun,Flesh; meat
मारद,mārada,Sanskrit,"māra (मार, “death”) + da (द, √dā “to give”)",Bahuvrīhi compound (adj.),Death-giving; destructive
मऊ,mau,Marathi,—,Adjective,"Soft, mild, placid, gentle; used for texture, tone, temperament, or atmosphere."
मौ,mau,Sanskrit,म (ma),Nominative / Accusative / Vocative Dual (Masculine),"two times; two poisons; two magical formulas; two moons; two sovereign beings (Brahman, Viṣṇu, Śiva, Yama); two syllabic feet (ma-gaṇa)"
माया,māyā,Sanskrit,√मा (mā),feminine noun,"deceit, fraud, trick, artifice; jugglery, enchantment; illusion produced by skill, magic, or contrivance"
मायिन्,māyin,Sanskrit,"√माय् (māy) — “to measure, to form, to create illusions”",Masculine noun / agent noun,possessor of Māyā; magician; illusion-maker; deceiver; creator of appearances
मेघे,meghe,Sanskrit,मेघ (megha),Locative singular noun,in / on / at the cloud
मेके,meke,Sanskrit,"मेक (meka, ram/goat/sheep)",Noun (Locative Singular),"In/at/on the ram, sheep, or goat"
मोच,moca,Sanskrit,√muc,noun (masculine),Tree (specifically Baheda or Terminalia belerica)
मोहौ,mohau,Sanskrit,√muh,"masculine noun, dual (nominative / accusative)","the two hallucinations; two states of mental obscuration arising from confusion or ignorance, characterized by loss of clear perception, mistaken judgment, false attachment, or infatuation; a paired condition of bewilderment that prevents discernment of truth and binds the mind to error, illusion, or misplaced affection"
मोहौ,mohau,Sanskrit,√मुह् (muh),Nominative / Accusative / Vocative Dual Masculine (a-stem),Two swoons or losses of consciousness; two states of perplexity or delusion; two forms of folly or ignorance; two errors or mistakes; two states of astonishment; two afflictions; two magical delusive arts; two mental delusions preventing discernment of truth; two attachments born of illusion.
मोक,moka,Sanskrit,√muc (मुच्),"Noun, neuter",A pupil; a student; one under instruction
मोकौ,mokau,Sanskrit,√muc (मुच्),Neuter noun — Nominative / Accusative Dual,"The two pupils / students; the two cast-off skins (dual), context-dependent"
मुह्,muh,Sanskrit,√मुह्,"Verb root (4th class, Parasmaipada), causative √मोहय","To faint, lose consciousness; to be bewildered, confused, or perplexed; to be foolish; to err or fail. Causative: to stupefy, confuse, delude, cause to err."
मुहुकैः,muhukaiḥ,Sanskrit (Vedic/Classical),मुहुक (muhuka),Instrumental Plural (Neuter a-stem noun),By moments; with instants; through brief moments
मूकौ,mūkau,Sanskrit,मूक (mūka),"Noun, nominative dual",Two mute ones; the two silent ones
मुखौ,mukhau,Sanskrit,√mukh,"Noun, dual nominative",Two mouths
मुण्,muṇ,Sanskrit,√muṇ (मुण्),"Verb Root, Class 6 (Parasmaipada)",To promise; to vow; to pledge
ण्,ṇ,Sanskrit,—,Grammatical augment / connector,Spoken hyphen; linking augment inserted between sounds or words (P. VIII.3.32)
न,na,Sanskrit,—,Indeclinable particle,"Not, no, negation"
नाद,nāda,Sanskrit,√nad (नद्),Noun – Masculine,"Loud sound, roar, cry, reverberation; mystic tone; sometimes linked to semi-circular resonance or cosmic arc"
नादर,nādara,Sanskrit,na (न) + ādara (आदर),masculine noun,"disrespect; lack of regard, honor, or attention"
नह्,nah,Sanskrit,√nah (नह्),Verb Root,"To bind, to fasten, to tie, to harness"
नहन,nahana,Sanskrit,√nah (नह्),Noun (derived from verb root),"Binding, tying, restraint; a bond or act of fastening or covering"
नह्य,nahya,Sanskrit,√nah (नह्),Verb (2nd person),you tie / you bind
नैण,naina,Prakrit,"नयन (nayana, Sanskrit)",Noun,Eye; sight; vision
णी,nainī,Prakrit,"From Sanskrit नयनी (nayanī, “having eyes”)",Noun / Adjective (feminine),Having eyes; eyed; one who possesses sight (often used poetically for a female figure or watcher).
नैय,naiya,Prakrit,Sanskrit √nād / √nad (नाद्),Noun / Verb (Prakritized),"Sound, noise, echo; to reverberate, to make a loud sound"
नक,naka,Sanskrit,from √नङ्क् / nāka (ancient Vedic noun with no productive root),Masculine noun,sky; heaven; the highest heaven; the celestial realm
नकार,nakāra,Marathi,na (“no”) + kāra,masculine noun,denial; refusal; rejection; disallowing; declining; the act of refusing; the marking of a rejected draft or bill
नाकार,nākāra,Marathi,—,masculine noun,refusing through disapproval; rejecting; declining; disallowing
नाकारा,nākārā,Marathi,—,adjective,bad; worthless; useless
नक्की,nakkī,Marathi,nakī (नकी),Adjective / Adverb,"Exact, definite, certain; fixed, settled; surely, indeed, precisely; correct, true"
नना,nanā,Sanskrit (Vedic),nanā,Feminine Noun,1) Speech; 2) Mother; 3) Daughter
नाना,nānā,Sanskrit,nānā,Adverb / Qualifier,"Various, diverse, distinct; used to denote separation, plurality, or difference"
ननु,nanu,Sanskrit,na + nu,indeclinable particle,"particle used for interrogation (“is it not?”), affirmation (“surely,” “indeed”), polite request (“please,” “pray”), mild vocative address (“O”), objection or contrast (“but,” “however”), and assent in dialogue (“yes, indeed”)."
नरे,nare,Sanskrit,नर (nara),Locative singular,"In / on / at the man, horse, or water."
नव,nau,Sanskrit,—,Cardinal Number,"The number nine (9); symbol of completion, finality, or fullness in many Vedic contexts"
नौका,nauka,Sanskrit,नउ (nau),Noun (feminine),"Boat, ship, or vessel; often symbolic of passage, crossing, or conveyance—used in Vedic and poetic texts to signify spiritual crossing, journey, or refuge."
नौका,naukā,Sanskrit,√नु (nu) + kā (suffix)*,Feminine noun,boat; small boat
नौकौ,naukau,Sanskrit,√nū,"Noun (feminine, dual)","Two boats, pair of boats"
नौके,nauke,Sanskrit,"From naukā (नौका, boat, vessel)",Noun – Nominative/Accusative dual (feminine ā-stem) or Vocative singular,The two boats; the two vessels; vocative: “O boat!” (In canon: the two Emissaries).
नौर,naur,Sanskrit / Prakrit,√नु / नौ (nau),Noun (oblique form),"Boat, ship, vessel; by extension, a carrier, vehicle, or means of passage"
नौर्‍णो,naurṇo,Prakrit (Sanskrit influence),नौ (nau),Nominative singular (masculine),The boat; the vessel
नय्,nay,Sanskrit,नय् (√naya),Verb (1st class Ātmanepada),"To go, move; to protect, preserve, defend, to send forth"
नय,naya,Sanskrit,√nī (नी),Noun – Abstract/Substantive,"Leading, guiding, conduct, policy; act of bringing or directing"
नयन,nayana,Sanskrit,√नी (nī — “to lead”),Noun (neuter),"Eye; the organ of sight; also metaphorically “vision,” “seeing,” or “guidance”"
नयनिर्नौके,nayanirnauke,Sanskrit,"नयन (nayana, eye) + निर् (nir-, without) + naukā (नौका, boat, vessel)",Compound noun – Nominative/Accusative dual (feminine ā-stem),The two sightless boats or vessels (in canon: the two sightless Emissaries).
नायिकौ,Nayikau,Sanskrit,नायिका (nāyikā),Feminine noun – Nominative / Vocative Dual,Two heroines; two mistresses
ने,ne,Sanskrit,"√नी (nī, to lead, carry, take)",Verb form (perfect / imperative in some contexts),He/She/It has led; has carried; or (as imperative) “Lead!”
णे,ṇe / nye,Prakrit,नय (naya),Verb / Inflected form,"To lead, guide, direct; to take or carry (context-dependent)"
णेहे,ṇehe,Prakrit,ṇeha (≤ Skt. sneha),Locative Singular (masc. a-stem); also Accusative Plural in some Prakrit paradigms,"In / within affection, attachment, tenderness (loc. sg.); affections, attachments (acc. pl., context-dependent)"
नेक,nēka,Marathi,nek (loan),adjective,virtuous; honest; upright; faithful; morally good (of a person or an action)
नेकया,nekayā,Marathi,नेक (neka),Dative Singular,to the good one; for the virtuous or upright one
नेकाया,nēkāyā,Marathi,नेका (neka),Dative singular (f./m.),To/for the virtuous person; to/for the righteous action
नेके,neke,Marathi,नेक (neka),Plural,virtuous ones; good people; those who are righteous
नेक्की,nekki,Prakrit / Vernacular,nīti (नीति) – conduct,Noun – Feminine,"Uprightness, moral virtue, good conduct"
नेल,nela,Prakrit,an-enas (अन+एनस्),Adjective,"Pure, unstained, without fault — especially used for pure speech or faultless sound."
नेणणे,nēṇaṇē,Marathi,नेण- (negative stem of “to know”),Verb (infinitive),to not know; to be ignorant of; to fail to understand
नेने,nene,Marathi / Prakrit,"√नी (nī, to lead, carry, take)",Verb form (past/habitual/imperfect),Took; carried; led; used to take.
नेणी,nēṇī,Marathi,Prakrit diminutive form (neṇī),Noun,small pot; small container; tiny vessel often used as an oil lamp
नेर,nera,Marathi,नेर (nera),Noun,"Dust, scraps, waste; refuse matter"
